Land,Code,Label,Ausfuhr: Wert,Einfuhr: Wert
Afghanistan,WA01,Lebende Tiere,78000,1000
Afghanistan,WA02,Fleisch,17253000,0
Afghanistan,WA03,"Fische, Krebs- und Weichtiere",1903000,0
Afghanistan,WA04,"Milch, Milcherzeugnisse, Eier, Honig",26108000,0
Afghanistan,WA05,Andere Waren tierischen Ursprungs,58000,10478000
Afghanistan,WA06,"Pflanzen, Waren des Blumenhandels",33000,2000
Afghanistan,WA07,"Gemüse, Pflanzen für Ernährung",960000,390000
Afghanistan,WA08,Genießbare Früchte und Nüsse,172000,71318000
Afghanistan,WA09,"Kaffee, Tee, Mate, Gewürze",2061000,2744000
Afghanistan,WA10,Getreide,136000,0
Afghanistan,WA11,"Müllereierzeugnisse, Malz usw.",1781000,4000
Afghanistan,WA12,"Ölsamen usw., Heilpflanzen usw.",803000,12782000
Afghanistan,WA13,"Schellack, Gummen, Harz, Pflanzensaft",60000,5000
Afghanistan,WA14,Flechtstoffe usw. pflanzlichen Ursprungs,0,0
Afghanistan,WA15,"Tierische und pflanzliche Fette, Öle, Wachs",1007000,56000
Afghanistan,WA16,"Zubereitungen von Fleisch, Fisch usw.",16054000,0
Afghanistan,WA17,Zucker und Zuckerwaren,1137000,769000
Afghanistan,WA18,Kakao und Zubereitungen aus Kakao,2689000,1000
Afghanistan,WA19,"Zubereitungen aus Getreide usw., Backwaren",11276000,319000
Afghanistan,WA20,"Zubereitungen von Gemüse, Früchten usw.",14543000,1479000
Afghanistan,WA21,Verschiedene Lebensmittelzubereitungen,102625000,81000
Afghanistan,WA22,"Getränke, alkoholhaltige Flüssigkeiten, Essig",43432000,88000
Afghanistan,WA23,"Rückstände der Lebensmittelindustrie, Futter",1316000,0
Afghanistan,WA24,Tabak,22289000,37000
Afghanistan,WA25,"Salz, Schwefel, Steine, Erden usw.",169000,130000
Afghanistan,WA26,"Erze, Schlacken, Aschen",0,0
Afghanistan,WA27,Mineralische Brennstoffe usw.,8346000,5000
Afghanistan,WA28,Anorganische chemische Erzeugnisse,1088000,0
Afghanistan,WA29,Organische chemische Erzeugnisse,4246000,55000
Afghanistan,WA30,Pharmazeutische Erzeugnisse,11255000,15000
Afghanistan,WA31,Düngemittel,147000,1000
Afghanistan,WA32,"Gerb- und Farbstoffe, Farben, Lacke usw.",2158000,2000
Afghanistan,WA33,"Etherische Öle, Riech-, Schönheitsmittel",57363000,11044000
Afghanistan,WA34,"Seifen, Waschmittel usw.",5618000,6000
Afghanistan,WA35,"Eiweißstoffe, Klebstoffe, Enzyme",264000,2000
Afghanistan,WA36,"Sprengstoffe, pyrotechnische Artikel usw.",2000,0
Afghanistan,WA37,Photochemische Erzeugnisse,429000,0
Afghanistan,WA38,Verschiedene Erzeugnisse der Chemischen Industrie,13397000,72000
Afghanistan,WA39,Kunststoffe und Waren daraus,28731000,320000
Afghanistan,WA40,Kautschuk und Waren daraus,15507000,25000
Afghanistan,WA41,"Häute, Felle, Leder",3000,0
Afghanistan,WA42,"Lederwaren, Sattlerwaren",1990000,80000
Afghanistan,WA43,"Pelzfelle, künstliches Pelzwerk",1000,4319000
Afghanistan,WA44,"Holz, Holzwaren, Holzkohle",2355000,13000
Afghanistan,WA45,"Kork, Korkwaren",2000,0
Afghanistan,WA46,"Flechtwaren, Korbmacherwaren",0,0
Afghanistan,WA47,"Halbstoffe aus Holz usw., Papierabfall",7000,0
Afghanistan,WA48,"Papier, Pappe und Waren daraus",11086000,14000
Afghanistan,WA49,"Bücher, Zeitungen, Bilddrucke usw.",8727000,140000
Afghanistan,WA50,Seide,0,3000
Afghanistan,WA51,"Wolle, feine und grobe Tierhaare",0,498000
Afghanistan,WA52,Baumwolle,0,2000
Afghanistan,WA53,"Andere pflanzliche Spinnstoffe, Papiergarn",0,0
Afghanistan,WA54,Synthetisches oder künstliches Filament,28000,0
Afghanistan,WA55,Synthetische oder künstliche Spinnfaser,48000,3000
Afghanistan,WA56,"Watte, Filz, Vliesstoff usw., Tauwerk",449000,1000
Afghanistan,WA57,"Teppiche, Fußbodenbelag aus Spinnstoff",172000,23297000
Afghanistan,WA58,"Spezialgewebe, Spitzen, Tapisserien",83000,1000
Afghanistan,WA59,"Getränkte, bestrichene usw. Gewebe",647000,6000
Afghanistan,WA60,Gewirke und Gestricke,326000,0
Afghanistan,WA61,"Bekleidung usw. aus Gewirken, Gestricken",2211000,800000
Afghanistan,WA62,"Andere Bekleidung, Bekleidungszubehör",5893000,928000
Afghanistan,WA63,"Andere Konfektion, Spinnstoffwaren usw.",3373000,166000
Afghanistan,WA64,"Schuhe, Gamaschen, ähnliche Waren",3259000,927000
Afghanistan,WA65,Kopfbedeckungen und Teile davon,429000,19000
Afghanistan,WA66,"Schirme, Gehstöcke usw., Peitschen",21000,0
Afghanistan,WA67,"Zugerichtete Federn, Daunen, künstliche Blumen",7000,8000
Afghanistan,WA68,"Waren aus Steinen, Gips, Zement usw.",1401000,42000
Afghanistan,WA69,Keramische Waren,844000,104000
Afghanistan,WA70,Glas und Glaswaren,3462000,23000
Afghanistan,WA71,"Perlen, Edelsteine, Edelmetalle",2015000,13156000
Afghanistan,WA72,Eisen und Stahl,730000,107000
Afghanistan,WA73,Waren aus Eisen oder Stahl,30654000,516000
Afghanistan,WA74,Kupfer und Waren daraus,633000,154000
Afghanistan,WA75,Nickel und Waren daraus,686000,7000
Afghanistan,WA76,Aluminium und Waren daraus,2414000,395000
Afghanistan,WA78,Blei und Waren daraus,5000,0
Afghanistan,WA79,Zink und Waren daraus,14000,8000
Afghanistan,WA80,Zinn und Waren daraus,0,0
Afghanistan,WA81,"Andere unedle Metalle, Cermets usw.",81000,0
Afghanistan,WA82,"Werkzeuge, Schneidwaren, Essbestecke",3961000,33000
Afghanistan,WA83,Verschiedene Waren aus unedlen Metallen,1910000,48000
Afghanistan,WA84,"Maschinen, Apparate, mechanische Geräte",230199000,1687000
Afghanistan,WA85,Elektrotechnische Erzeugnisse,264762000,3066000
Afghanistan,WA86,Schienenfahrzeuge,29020000,51000
Afghanistan,WA87,"Kraftfahrzeuge, Landfahrzeuge",924442000,160000
Afghanistan,WA88,"Luftfahrzeuge, Raumfahrzeuge",1801000,18000
Afghanistan,WA89,Wasserfahrzeuge,6000,0
Afghanistan,WA90,"Optische, photografische usw. Erzeugnisse",78418000,415000
Afghanistan,WA91,Uhrmacherwaren,5757000,5000
Afghanistan,WA92,Musikinstrumente,23000,95000
Afghanistan,WA93,Waffen und Munition,814000,0
Afghanistan,WA94,"Möbel, Beleuchtungskörper usw.",84694000,3324000
Afghanistan,WA95,"Spielzeug, Spiele usw., Sportgeräte",1307000,287000
Afghanistan,WA96,Verschiedene Waren,2027000,10000
Afghanistan,WA97,"Kunstgegenstände, Sammlungsstücke",2000,122000
Afghanistan,WA98,Vollständige Fabrikationsanlagen,26248000,0
Afghanistan,WA99,Zusammenstellungen verschiedener Waren,83541000,49697000
Albanien,WA01,Lebende Tiere,3762000,4000
Albanien,WA02,Fleisch,19216000,24000
Albanien,WA03,"Fische, Krebs- und Weichtiere",1901000,334000
Albanien,WA04,"Milch, Milcherzeugnisse, Eier, Honig",75992000,50000
Albanien,WA05,Andere Waren tierischen Ursprungs,975000,132000
Albanien,WA06,"Pflanzen, Waren des Blumenhandels",160000,895000
Albanien,WA07,"Gemüse, Pflanzen für Ernährung",8419000,8933000
Albanien,WA08,Genießbare Früchte und Nüsse,2324000,25075000
Albanien,WA09,"Kaffee, Tee, Mate, Gewürze",5314000,8999000
Albanien,WA10,Getreide,2535000,1000
Albanien,WA11,"Müllereierzeugnisse, Malz usw.",4192000,4000
Albanien,WA12,"Ölsamen usw., Heilpflanzen usw.",9413000,147892000
Albanien,WA13,"Schellack, Gummen, Harz, Pflanzensaft",808000,20000
Albanien,WA14,Flechtstoffe usw. pflanzlichen Ursprungs,1000,81000
Albanien,WA15,"Tierische und pflanzliche Fette, Öle, Wachs",1533000,151000
